product_id,name,category,price,description,rating,combined_text
0,[Mã ELBAU1TR giảm 5% ] Điện Thoại Samsung Galaxy M12 (3GB/32GB) - Hãng Phân Phối Chính Thức,Khác,0,,0,[Mã ELBAU1TR giảm 5% ] Điện Thoại Samsung Galaxy M12 (3GB/32GB) - Hãng Phân Phối Chính Thức Khác 
1,"Điện Thoại Nokia 101,Nokia 100, Nokia 105 Zin Chính Hãng, Được Chọn Kèm Phụ Kiện",Khác,0,,0,"Điện Thoại Nokia 101,Nokia 100, Nokia 105 Zin Chính Hãng, Được Chọn Kèm Phụ Kiện Khác "
2,Điện thoại TECNO POVA2 (4GB+64GB) - Hàng chính hãng,Khác,0,,0,Điện thoại TECNO POVA2 (4GB+64GB) - Hàng chính hãng Khác 
3,Điện Thoại Siêu Dễ Thương Mini BM10 Thay Đổi Giọng Nói Làm Điện Thoại Mẹ Bồng Con,Khác,0,,0,Điện Thoại Siêu Dễ Thương Mini BM10 Thay Đổi Giọng Nói Làm Điện Thoại Mẹ Bồng Con Khác 
4,[Mã ELBAU1TR giảm 5% ] Điện thoại Samsung Galaxy A22 (6GB/128GB),Khác,0,,0,[Mã ELBAU1TR giảm 5% ] Điện thoại Samsung Galaxy A22 (6GB/128GB) Khác 
5,"Điện Thoại Nokia 101, Nokia 105 - Máy 2 Sim 2 Sóng Máy Zin Đủ Phụ Kiện Pin Sạc",Khác,0,,0,"Điện Thoại Nokia 101, Nokia 105 - Máy 2 Sim 2 Sóng Máy Zin Đủ Phụ Kiện Pin Sạc Khác "
6,[Nhập ELAP500K giảm 8% đơn 500K] Apple iPhone 11 128GB,Khác,0,,0,[Nhập ELAP500K giảm 8% đơn 500K] Apple iPhone 11 128GB Khác 
7,"Điện Thoại Nokia 1280 Zin Chính Hãng Màn Hình Zin, Main Zin - Được Chọn Phụ Kiện",Khác,0,,0,"Điện Thoại Nokia 1280 Zin Chính Hãng Màn Hình Zin, Main Zin - Được Chọn Phụ Kiện Khác "
8,máy cũ giá rẻ oppo neo5 ram 1gb,Khác,0,,0,máy cũ giá rẻ oppo neo5 ram 1gb Khác 
9,"Nokia 6300 ★Chính hãng 100%★ Điện Thoại Phổ Thông, Điện Thoại Nokia 6300 Zin  Bảo Hành 12 Tháng | TUÂN HƯNG YÊN",Khác,0,,0,"Nokia 6300 ★Chính hãng 100%★ Điện Thoại Phổ Thông, Điện Thoại Nokia 6300 Zin  Bảo Hành 12 Tháng | TUÂN HƯNG YÊN Khác "
10,"Điện Thoại Nokia 105 Bản 2017, 2019 - 1 Sim or 2 Sim Được Chọn Phụ Kiện Pin Sạc",Khác,0,,0,"Điện Thoại Nokia 105 Bản 2017, 2019 - 1 Sim or 2 Sim Được Chọn Phụ Kiện Pin Sạc Khác "
11,[Mã ELBAU1TR giảm 5% ] Điện Thoại Samsung Galaxy S20 FE (8GB/256GB) - Hàng Chính Hãng,Khác,0,,0,[Mã ELBAU1TR giảm 5% ] Điện Thoại Samsung Galaxy S20 FE (8GB/256GB) - Hàng Chính Hãng Khác 
12,Điện thoại Siêu Nhỏ B3310 02 sim 02 sóng gắn được thẻ nhớ,Khác,0,,0,Điện thoại Siêu Nhỏ B3310 02 sim 02 sóng gắn được thẻ nhớ Khác 
13,[Nhập ELAP500K giảm 8% đơn 500K] Apple iPhone 11 64GB,Khác,0,,0,[Nhập ELAP500K giảm 8% đơn 500K] Apple iPhone 11 64GB Khác 
14,Pin SamSung Xanh 18650 cũ giá rẻ,Khác,0,,0,Pin SamSung Xanh 18650 cũ giá rẻ Khác 
15,Nokia E72 Mới_Điện Thoại Cổ Nokia  E72_Điện Thoại Phổ Thông Zin Chính Hãng Bảo Hành 12 Tháng|Tuân Hưng Yên,Khác,0,,0,Nokia E72 Mới_Điện Thoại Cổ Nokia  E72_Điện Thoại Phổ Thông Zin Chính Hãng Bảo Hành 12 Tháng|Tuân Hưng Yên Khác 
16,[ Rẻ Vô Địch ] _ Nokia 6300_Điện Thoại Nokia 6300 Mới Chính Hãng Đủ Màu Bảo Hành 12 Tháng Chuẩn Uy Tín |TUÂN HƯNG YÊN,Khác,0,,0,[ Rẻ Vô Địch ] _ Nokia 6300_Điện Thoại Nokia 6300 Mới Chính Hãng Đủ Màu Bảo Hành 12 Tháng Chuẩn Uy Tín |TUÂN HƯNG YÊN Khác 
17,[Mã ELAAR8 giảm 5% đơn 1TR] Apple iPhone 13 Pro Max Chính hãng VN/A,Khác,0,,0,[Mã ELAAR8 giảm 5% đơn 1TR] Apple iPhone 13 Pro Max Chính hãng VN/A Khác 
18,Điện Thoại Xiaomi Redmi 9A 2GB/32GB - Hàng Chính Hãng,Khác,0,,0,Điện Thoại Xiaomi Redmi 9A 2GB/32GB - Hàng Chính Hãng Khác 
19,"điện thoại Sony Xperia Xz1 ram 4G/64G mới zin Chính Hãng, Chiến PUBG/Liên Quân đỉnh",Khác,0,,0,"điện thoại Sony Xperia Xz1 ram 4G/64G mới zin Chính Hãng, Chiến PUBG/Liên Quân đỉnh Khác "
20,"[Hàng Chính Hãng 100%] Nokia 1280, Điện Thoại Nokia1280  Zin Chính Hãng Đủ Phụ Kiện Pin Sài Cả Tuần",Khác,0,,0,"[Hàng Chính Hãng 100%] Nokia 1280, Điện Thoại Nokia1280  Zin Chính Hãng Đủ Phụ Kiện Pin Sài Cả Tuần Khác "
21,[Mã SKAM70K giảm 7% đơn 500k] Điện thoại Xiaomi Redmi 9A (2GB/32GB) - Hàng chính hãng,Khác,0,,0,[Mã SKAM70K giảm 7% đơn 500k] Điện thoại Xiaomi Redmi 9A (2GB/32GB) - Hàng chính hãng Khác 
22,"Điện Thoại Người _x0008_Già Masstel Fami 11, Fami 12 4G, Fami 60 - Loa To, FM Không Dây, Đọc Số Bằng Giọng Nói... [CHÍNH HÃNG]",Khác,0,,0,"Điện Thoại Người _x0008_Già Masstel Fami 11, Fami 12 4G, Fami 60 - Loa To, FM Không Dây, Đọc Số Bằng Giọng Nói... [CHÍNH HÃNG] Khác "
23,"Lá vàng Mèo Thần Tài, Trâu Thần Tài Mạ 18K rước Tài Lộc - May Mắn để trong Ốp điện thoại,Ví – Dino Case tết",Khác,0,,0,"Lá vàng Mèo Thần Tài, Trâu Thần Tài Mạ 18K rước Tài Lộc - May Mắn để trong Ốp điện thoại,Ví – Dino Case tết Khác "
24,Điện thoại Xiaomi Redmi 9A (2GB/32GB) - Hàng chính hãng,Khác,0,,0,Điện thoại Xiaomi Redmi 9A (2GB/32GB) - Hàng chính hãng Khác 
25,"[ CHÍNH HÃNG ] Tai Nghe OPPO F3,F5,F7,F9,F11,R11,R15 CHÍNH HÃNG BH 1 ĐỔi 1 12 Tháng.",Khác,0,,0,"[ CHÍNH HÃNG ] Tai Nghe OPPO F3,F5,F7,F9,F11,R11,R15 CHÍNH HÃNG BH 1 ĐỔi 1 12 Tháng. Khác "
26,Điện thoại Realme C21Y 4GB - Hàng Chính Hãng,Khác,0,,0,Điện thoại Realme C21Y 4GB - Hàng Chính Hãng Khác 
27,Phím nút home iP 6/ 6 Plus/ 6S/ 6S Plus zin bóc máy,Khác,0,,0,Phím nút home iP 6/ 6 Plus/ 6S/ 6S Plus zin bóc máy Khác 
28,[Mã SKAM70K giảm 7% đơn 500k] Điện thoại LG V50 ThinQ 3 Camera bản Hàn Quốc ram 6G/128G /Snap855 Chiến PUBG/Liên Q,Khác,0,,0,[Mã SKAM70K giảm 7% đơn 500k] Điện thoại LG V50 ThinQ 3 Camera bản Hàn Quốc ram 6G/128G /Snap855 Chiến PUBG/Liên Q Khác 
29,Điện thoại di động Samsung Galaxy S20 FE 8G/256G Snapdragon 865 Hàng chính hãng,Khác,0,,0,Điện thoại di động Samsung Galaxy S20 FE 8G/256G Snapdragon 865 Hàng chính hãng Khác 
30,Điện thoại Xiaomi POCO F3 6GB l 128GB - Snapdragon 870 5G - AMOLED 120Hz - Loa kép chuẩn Dolby Atmos® - Chính hãng,Khác,0,,0,Điện thoại Xiaomi POCO F3 6GB l 128GB - Snapdragon 870 5G - AMOLED 120Hz - Loa kép chuẩn Dolby Atmos® - Chính hãng Khác 
31,Điện thoại mini BM10 2sim,Khác,0,,0,Điện thoại mini BM10 2sim Khác 
32,Điện thoại Xiaomi 11T Pro 5G (12GB/256GB) Hàng chính hãng,Khác,0,,0,Điện thoại Xiaomi 11T Pro 5G (12GB/256GB) Hàng chính hãng Khác 
33,"Điện thoại Nokia 1280 zin, có pin sạc",Khác,0,,0,"Điện thoại Nokia 1280 zin, có pin sạc Khác "
34,[Nhập ELAP500K giảm 8% đơn 500K] Apple iPhone 12 64GB,Khác,0,,0,[Nhập ELAP500K giảm 8% đơn 500K] Apple iPhone 12 64GB Khác 
35,[Mã ELAAR2508 giảm 5% đơn 3TR] Apple iPhone 11 64GB,Khác,0,,0,[Mã ELAAR2508 giảm 5% đơn 3TR] Apple iPhone 11 64GB Khác 
36,"Điện thoại mini L8STAR BM10 2 sim 2 sóng , hỗ trợ bluetooth ,mp3, thẻ nhớ,thay đổi giọng nói - BH 12 Tháng",Khác,0,,0,"Điện thoại mini L8STAR BM10 2 sim 2 sóng , hỗ trợ bluetooth ,mp3, thẻ nhớ,thay đổi giọng nói - BH 12 Tháng Khác "
