review_text,label,source
Tốt Gói Hàng đẹp Shop phục vụ rất tốt.,1,tiki_sentiment
Mk nhận đk hàng rồi đẹp lắm cảm ơn shop nhé 😊.,1,tiki_sentiment
Bố t thích áo này lắm y.,1,tiki_sentiment
"Shop còn có quà cho khách nữa, rất hài lòng , sẽ tiếp tục ủng hộ shop nhed.",1,tiki_sentiment
76347487068,0,dduongdev_shopee_raw
Dây nịt ngực trong suốt rách ko dùng đc 1 lần nào.,0,tiki_sentiment
41681941072,0,dduongdev_shopee_raw
Vai thi ok.co dieu mau trung hoi nhieu.,1,tiki_sentiment
Đc cái là vải rất ok nặng tay một số thì hơi có chỉ thừa.,1,tiki_sentiment
"Chất lượng sp tốt, vừa ý.",1,tiki_sentiment
58808244600,0,dduongdev_shopee_raw
78739457962,1,dduongdev_shopee_raw
Giao thiếu hàng .,0,tiki_sentiment
Túi gì mà đẹp dữ thần thiên địa.,1,tiki_sentiment
32178233441,0,dduongdev_shopee_raw
89795170963,1,dduongdev_shopee_raw
Shop này bán hàng có tâm cực luôn.,1,tiki_sentiment
73957000497,0,dduongdev_shopee_raw
"Áo form nhỏ, cứng, k êm.",0,tiki_sentiment
15466801046,0,dduongdev_shopee_raw
78920094270,1,dduongdev_shopee_raw
80829838760,0,dduongdev_shopee_raw
17644549760,0,dduongdev_shopee_raw
"Đầm đẹp, chất vải ok.",1,tiki_sentiment
17041421441,1,dduongdev_shopee_raw
57881344033,1,dduongdev_shopee_raw
"Áo này có tấm lót mỏng và phẳng lì, mặc vô nhìn như mặc áo thể thao á, nhưng chất ren rất mịn đẹp.",1,tiki_sentiment
"Hàng đúng như hình, hài lòng, chúc shop may mắn.",1,tiki_sentiment
91521327500,1,dduongdev_shopee_raw
Nhưng hạt thông và hạt bồ đồ ko ngon mình ko thích 2 hạt này.,1,tiki_sentiment
Thanks shop nhiều!,1,tiki_sentiment
69120473839,0,dduongdev_shopee_raw
66954204924,0,dduongdev_shopee_raw
77613424061,1,dduongdev_shopee_raw
84554957862,0,dduongdev_shopee_raw
84552678660,1,dduongdev_shopee_raw
"Áo mùi cao su và hơi bị nóng,shop rất nhiệt tình Shop phục vụ rất tốt.",1,tiki_sentiment
"Mình rất thương shop này luôn.. lần đầu mua đồ tại shop nhưng mình ko thể chê môt chỗ nào từ đường chỉ...cúc, dây kéo,chất liệu vải...noi chung mọi thứ đều rất tốt.",1,tiki_sentiment
80782035545,1,dduongdev_shopee_raw
Đẹp tuyet voi lun ạ Chất lượng sản phẩm tuyệt vời.,1,tiki_sentiment
16073280185,0,dduongdev_shopee_raw
Chất liệu đẹp .nhưng dáng áo ko đẹp !,0,tiki_sentiment
77084160343,0,dduongdev_shopee_raw
Giao hàng ko đúng .,0,tiki_sentiment
Giá rẻ dùng được.,1,tiki_sentiment
Trông to ai ngờ mình mặc vừa luôn 🤣 hơi bị đẹp.,1,tiki_sentiment
Minh nhan hang bi loi ma goi cho shop k nghe may.ban bao gui anh qua zalo nhung k gui đc .qua that vong.,0,tiki_sentiment
"Sản phẩm đẹp, giá tốt, Rất đáng tiền.",1,tiki_sentiment
81508022712,0,dduongdev_shopee_raw
"Bạn chủ rất là ân cần luôn, máy rất tốt trong tầm giá nha, ai muốn mua nên cân nhắc á.",1,tiki_sentiment
"Chất vải đẹp, hàng giống hinh. shop tư vấn nhiệt tình.",1,tiki_sentiment
Shop làm ăn không được.,0,tiki_sentiment
"Mình đặt màu xanh, shop lại giao màu trắng.",0,tiki_sentiment
16586210047,0,dduongdev_shopee_raw
Chất lượng sản phẩm tạm được xấu quá.,0,tiki_sentiment
