review_text,processed_text,label,source
Tốt Gói Hàng đẹp Shop phục vụ rất tốt.,gói hàng đẹp shop phục_vụ,1,tiki_sentiment
Mk nhận đk hàng rồi đẹp lắm cảm ơn shop nhé 😊.,đk hàng đẹp cảm_ơn shop,1,tiki_sentiment
Bố t thích áo này lắm y.,bố áo,1,tiki_sentiment
"Shop còn có quà cho khách nữa, rất hài lòng , sẽ tiếp tục ủng hộ shop nhed.",shop quà hài_lòng tiếp_tục ủng_hộ shop nhed,1,tiki_sentiment
76347487068,76347487068,0,dduongdev_shopee_raw
Dây nịt ngực trong suốt rách ko dùng đc 1 lần nào.,dây nịt ngực suốt rách,0,tiki_sentiment
41681941072,41681941072,0,dduongdev_shopee_raw
Vai thi ok.co dieu mau trung hoi nhieu.,vai thi co_dieu mau trung_hoi nhieu,1,tiki_sentiment
Đc cái là vải rất ok nặng tay một số thì hơi có chỉ thừa.,vải một_số hơi thừa,1,tiki_sentiment
"Chất lượng sp tốt, vừa ý.",chất_lượng sản_phẩm,1,tiki_sentiment
58808244600,58808244600,0,dduongdev_shopee_raw
78739457962,78739457962,1,dduongdev_shopee_raw
Giao thiếu hàng .,giao hàng,0,tiki_sentiment
Túi gì mà đẹp dữ thần thiên địa.,túi đẹp dữ_thần thiên_địa,1,tiki_sentiment
32178233441,32178233441,0,dduongdev_shopee_raw
89795170963,89795170963,1,dduongdev_shopee_raw
Shop này bán hàng có tâm cực luôn.,shop hàng tâm_cực,1,tiki_sentiment
73957000497,73957000497,0,dduongdev_shopee_raw
"Áo form nhỏ, cứng, k êm.",áo form cứng êm,0,tiki_sentiment
15466801046,15466801046,0,dduongdev_shopee_raw
78920094270,78920094270,1,dduongdev_shopee_raw
80829838760,80829838760,0,dduongdev_shopee_raw
17644549760,17644549760,0,dduongdev_shopee_raw
"Đầm đẹp, chất vải ok.",đầm đẹp chất vải,1,tiki_sentiment
17041421441,17041421441,1,dduongdev_shopee_raw
57881344033,57881344033,1,dduongdev_shopee_raw
"Áo này có tấm lót mỏng và phẳng lì, mặc vô nhìn như mặc áo thể thao á, nhưng chất ren rất mịn đẹp.",áo lót mỏng phẳng_lì mặc vô mặc áo thể_thao chất_ren mịn đẹp,1,tiki_sentiment
"Hàng đúng như hình, hài lòng, chúc shop may mắn.",ha ng đu_ng hi_nh ha lo ng chu_c shop may mă,1,tiki_sentiment
91521327500,91521327500,1,dduongdev_shopee_raw
Nhưng hạt thông và hạt bồ đồ ko ngon mình ko thích 2 hạt này.,hạt thông hạt bồ_đồ ngon hạt,1,tiki_sentiment
Thanks shop nhiều!,thanks shop,1,tiki_sentiment
69120473839,69120473839,0,dduongdev_shopee_raw
66954204924,66954204924,0,dduongdev_shopee_raw
77613424061,77613424061,1,dduongdev_shopee_raw
84554957862,84554957862,0,dduongdev_shopee_raw
84552678660,84552678660,1,dduongdev_shopee_raw
"Áo mùi cao su và hơi bị nóng,shop rất nhiệt tình Shop phục vụ rất tốt.",áo mùi cao_su hơi nóng_shop nhiệt_tình_shop phục_vụ,1,tiki_sentiment
"Mình rất thương shop này luôn.. lần đầu mua đồ tại shop nhưng mình ko thể chê môt chỗ nào từ đường chỉ...cúc, dây kéo,chất liệu vải...noi chung mọi thứ đều rất tốt.",thương_shop đầu mua đồ shop không_thể chê_môt chỗ đường cúc dây kéo chất_liệu vải noi,1,tiki_sentiment
80782035545,80782035545,1,dduongdev_shopee_raw
Đẹp tuyet voi lun ạ Chất lượng sản phẩm tuyệt vời.,đẹp tuyet voi lun chất_lượng sản_phẩm tuyệt_vời,1,tiki_sentiment
16073280185,16073280185,0,dduongdev_shopee_raw
Chất liệu đẹp .nhưng dáng áo ko đẹp !,chất_liệu đẹp dáng áo đẹp,0,tiki_sentiment
77084160343,77084160343,0,dduongdev_shopee_raw
Giao hàng ko đúng .,giao hàng_không,0,tiki_sentiment
Giá rẻ dùng được.,giá rẻ,1,tiki_sentiment
Trông to ai ngờ mình mặc vừa luôn 🤣 hơi bị đẹp.,trông to ai_ngờ mặc hơi đẹp,1,tiki_sentiment
Minh nhan hang bi loi ma goi cho shop k nghe may.ban bao gui anh qua zalo nhung k gui đc .qua that vong.,minh nhan_hang bi_loi ma_goi shop may ban bao_gui zalo nhung gui that_vong,0,tiki_sentiment
"Sản phẩm đẹp, giá tốt, Rất đáng tiền.",sản_phẩm đẹp giá tiền,1,tiki_sentiment
81508022712,81508022712,0,dduongdev_shopee_raw
"Bạn chủ rất là ân cần luôn, máy rất tốt trong tầm giá nha, ai muốn mua nên cân nhắc á.",chủ ân_cần máy tầm giá nha mua cân_nhắc,1,tiki_sentiment
"Chất vải đẹp, hàng giống hinh. shop tư vấn nhiệt tình.",chất vải đẹp hàng hinh_shop tư_vấn nhiệt_tình,1,tiki_sentiment
Shop làm ăn không được.,shop làm_ăn,0,tiki_sentiment
"Mình đặt màu xanh, shop lại giao màu trắng.",màu xanh shop giao màu trắng,0,tiki_sentiment
16586210047,16586210047,0,dduongdev_shopee_raw
Chất lượng sản phẩm tạm được xấu quá.,chất_lượng sản_phẩm tạm xấu,0,tiki_sentiment
Phù hợp v bạn từ 45-48kg thôi.,phù_hợp 45 48 kg,0,tiki_sentiment
Chất liệu okii.,chất_liệu okii,1,tiki_sentiment
86725992074,86725992074,1,dduongdev_shopee_raw
70621796928,70621796928,1,dduongdev_shopee_raw
14756430051,14756430051,1,dduongdev_shopee_raw
Đóng gói cẩn thận và còn được tặng kèm một đôi tất nưaz.,đóng_gói cẩn_thận tặng kèm đôi tất_nưaz,1,tiki_sentiment
Sp tốt lắm nheg shop ^^.,sản_phẩm nheg shop,1,tiki_sentiment
Đóng gói sản phẩm rất đẹp và chắc chắn Thời gian giao hàng rất nhanh.Gà hơi cay và mặn lần sau ngon mới lấy tiếp ạ.,đóng_gói sản_phẩm đẹp chắc_chắn thời_gian giao hàng gà hơi cay mặn ngon tiếp,1,tiki_sentiment
Hơi chủ quan và thất vọng quá!,hơi chủ_quan thất_vọng,0,tiki_sentiment
14971344641,14971344641,0,dduongdev_shopee_raw
Áo khác với hình.,áo hình,0,tiki_sentiment
79366377827,79366377827,0,dduongdev_shopee_raw
Hàng chuẩn vnxk.,hàng chuẩn vnxk,1,tiki_sentiment
Mình may mắn nhận được loa nghe ok max âm lượng ko rè.,may_mắn loa max âm_lượng rè,1,tiki_sentiment
Shop bán hàng tốt.,shop hàng,1,tiki_sentiment
37603553090,37603553090,0,dduongdev_shopee_raw
Áo thun phông cổ tròn vải dày.,áo thun phông cổ tròn vải dày,1,tiki_sentiment
