,id,name,description,original_price,price,fulfillment_type,brand,review_count,rating_average,favourite_count,pay_later,current_seller,date_created,number_of_images,vnd_cashback,has_video,category,quantity_sold
0,252071637,"Hộp dép, hộp đựng dép hm - màu cam kich thước 32x11x11","       Hộp dép, hộp đựng dép hm - màu cam, kích thước 32x11x11   -----------------   THÔNG TIN SẢN PHẨM   Hộp dép, hộp carton   _ Kiểu dáng: Chữ nhật   _ Màu: Cam   _ Chất liệu: Carton cứng...",3000,3000,dropship,OEM,0,0.0,0,False,Kho Chuyên Sỉ lẻ Dép,149,7,0,False,Root,0
1,208439152,Dép xốp quai ngang đi trong nhà- dép xốp khách sạn -dép xốp đi biển,"  Dép xốp quai ngang, đi trong nhà/Khách sạn/Đi biển/Đi dạo   Kích Thước : Size Nam nữ 37-43 (Lưu ý: dép FORM NHỎ khách vui lòng đặt lớn hơn 1-2 size để đi thoải mái nha)   Màu Sắc : Xanh Ngọc   K...",14200,14200,dropship,OEM,0,0.0,0,False,TT8695,277,6,0,False,Root,0
2,105883794,dép tổ ông huyền thoại,Thiết kế đặc biệtChống trơn trượtKhông ngậm nướcPhù hợp với mọi lứa tuổiCó gân kẻ trong lòng dép nên không bị bí nước như các loại dép khác.Mềm êm chân.Dép nhựa dẻo nên không nhanh rách !Thiết ...,9900,9900,dropship,OEM,3,5.0,0,False,Rumyh Fashion Style,819,4,267,False,Dép quai ngang,8
3,252864898,Sen guốc trơn lá lớn_Ảnh thật,"       Chào bạn, cảm ơn bạn đã ghé thăm shop ạ   Shop cam kết tất cả cây trên shop đều là ảnh chụp thật của shop. Cây của shop đều được thuần dưỡng, xịt thuốc phòng nấm bệnh rầy rệp hàng tuần để ...",15000,15000,dropship,OEM,0,0.0,0,False,BOYBON Garden,139,1,0,False,Root,0
4,252865522,Cây guốc sao trơn,       Cây hawothia guốc sao trơn cây đang con   Cây ưa nắng   Mh hướng dẫn sơ khi cây mới mua về mn nhé   Cây nhận về nếu còn bầu đất thì b nên dũ bỏ sạch đất cũ. Nếu rể dài wa thì tỉa bớt để ...,13000,13000,dropship,OEM,0,0.0,0,False,BOYBON Garden,139,1,0,False,Root,0
5,186310083,Dép nhựa cao su cho người trung niên,       Chào Anh/Chị   ️Mẫu ảnh bên shop chụp ảnh thật nên các Anh/Chị yên tâm 100% như hình nhé.   ️Hãy INBOX ( Nhắn tin) cho shop để lấy size CHUẨN nha .   Shop cam kết hàng chuẩn xịn giá hợp ...,27000,27000,dropship,OEM,0,0.0,0,False,ShopDUMPS,453,6,0,False,Root,0
6,105711332,DÉP LÀO XANH QUAI NGANG DÉP XỐP NAHI D49,       NAHI ALWAYS BE YOU- NAHI LUÔN BÊN CẠNH CÁC BẠN TRONG CUỘC SỐNG <3   Thông tin sản phẩm: DÉP LÀO XANH QUAI NGANG NAHI D49   1. Dép lào xanh được làm từ chất liệu đế xốp quai da mềm mang...,29000,29000,dropship,OEM,12,5.0,0,False,NaHi Shop,819,7,0,False,Dép quai ngang,59
7,124146479,-Dép giả cói quai chéo chống nước Hàng Loại 1,"       Sandal cao su dẻo giả cói chống nước Hàng Loại 1   GIÁ LẺ RẺ NHƯ GIÁ BUÔN   + Cao su dẻo chống nước dùng đi biển , đi chơi đi , đi tuốt tuồn tuột nha các chế   + Hàng chuẩn đẹp loại 1 kh...",31900,31900,dropship,OEM,2,4.5,0,False,Shopsieu0811,724,1,0,False,Root,11
8,248089336,Dép lê nữ quai ngang giá rẻ cho người lớn tuổi đi đế thấp ( Ảnh thật),THÔNG TIN SẢN PHẨMAnh bên shop chụp ảnh thật nên các Anh/Chị yên tâm 100% như hình nhéMàu sắc: VàngChất liẹu: Nhựa cao su-Loại đế: Nhựa cao su-Thương hiệu- Xuất xứ: TQSize:37-38-39-40Lưu ý dép...,25000,25000,dropship,OEM,0,0.0,0,False,haiquynh06,176,3,0,True,Dép quai ngang,0
9,100968622,Dép Tông thái cho bé hot trend 2020 siêu cute 21351 nhiều màu sắc,       • *) THÔNG TIN SẢN PHẨM   • ✦ Dép nữ đẹp phù hợp cho các nàng dịu dàng và cá tính.   • ✧ Chất liệu được làm từ Cao su .   • ★ Nhiều size và màu sắc để lựa chọn   • ✧ Chức năng: giảm sốc...,30000,19300,dropship,OEM,0,0.0,0,False,TLG GOLD,839,10,520,False,Root,6
10,115815396,Dép táo lỗ to,       Dép lỗ táo đi trong nhà- tiện lợi dễ sử dụng.   Chất liệu: nhựa mềm   Đủ size: 40->44    Click mua ngay để sở hữu sản phẩm tuyệt vời này!   Shop Đồ gia dụng Đức Minh Hoàng hàng gia d...,25000,25000,dropship,OEM,0,0.0,0,False,Giày dép Trường Hằng,773,1,0,False,Root,0
11,178537658,"Dép bánh mì độn đế cao quai ngang nữ, dép đi trong nhà, du lịch chống trơn trượt siêu nhẹ - SAVVY shoes","       Dép bánh mì độn đế cao quai ngang nữ, dép đi trong nhà, du lịch chống trơn trượt siêu nhẹ - SAVVY shoes   Chất Liệu Đế Cao Su   + Size: 35-39   + Màu Sắc: Đen, Hồng   - Kích thước size ...",19000,19000,dropship,OEM,2,3.0,0,False,SAVVY STORE,493,1,0,False,Root,2
12,124311508,Xả Kho dép lỗ nhựa VIP,"       sỉ số lượng lớn giá nhập xưởng   Dép lỗ nhựa VIP,hàng Việt nam chất lượng cao,   Có thể đi trong nhà,đi nhà tắm,vệ sinh   Thuuận tiện mà khô thoáng   ...",24999,24999,dropship,OEM,0,0.0,0,False,shoping86,723,2,0,False,Root,0
13,124297898,Xả Kho dép lỗ nhựa VIP,"       sỉ số lượng lớn giá nhập xưởng   Dép lỗ nhựa VIP,hàng Việt nam chất lượng cao,   Có thể đi trong nhà,đi nhà tắm,vệ sinh   Thuuận tiện mà khô thoáng   ...",24999,24999,dropship,OEM,0,0.0,0,False,Giày dép Hằng Trường,724,2,0,False,Root,0
14,247562600,Dép xốp quai ngang màu xanh siêu nhẹ mang trong nhà,"       DÉP QUAI NGANG SIÊU NHẸ MANG TRONG NHÀ   _ Màu sắc: dép xốp quai xanh đế xanh   _ Size dép: 38 tới 42   _ Công dụng: dép nhẹ, dép rẻ tiền dùng mang trong nhà, dép mang khách sạn, dép bện...",16500,16500,dropship,OEM,2,4.0,0,False,Gia dụng Hưng Phát Đạt,180,4,445,False,Root,17
15,124777115,Dép nhựa cho người lớn tuổi đi đế thấp( Ảnh thật ),       Chào Anh/Chị   ️Mẫu ảnh bên shop chụp ảnh thật nên các Anh/Chị yên tâm 100% như hình nhé.   ️Hãy INBOX ( Nhắn tin) cho shop để lấy size CHUẨN nha .   Shop cam kết hàng chuẩn xịn giá hợp ...,30000,30000,dropship,OEM,3,5.0,0,False,ShopDUMPS,721,2,0,False,Dép quai ngang,10
16,173239501,"dép nữ dễ thương,tông thái nữ cao cấp hot trend 2020 trẻ trung năng động 21357",       • *) THÔNG TIN SẢN PHẨM   • ✦ Dép nữ đẹp phù hợp cho các nàng dịu dàng và cá tính.   • ✧ Chất liệu được làm từ Cao su .   • ★ Nhiều size và màu sắc để lựa chọn   • ✧ Chức năng: giảm sốc...,33000,30400,dropship,OEM,0,0.0,0,False,ĐỒ DA THÀNH LONG TLG,530,10,820,False,Root,0
17,48995670,Dép nhựa nam nữ 3 sao xanh,"Dép nhựa đi trong nhà được làm bằng nhựa cao cấp, tạo cảm giác nhẹ nhàng lòng bàn chân giúp lưu thông khí huyết, mang đến sự thoải mái, dễ chịu cho người mang.Thích hợp đi trong nhà, sử dụng trong n...",24000,24000,dropship,OEM,0,0.0,0,False,Shop Bin Bin,1298,1,0,False,Root,1
18,48995698,Dép nhựa nam nữ 3 sao tím than,"Dép nhựa đi trong nhà được làm bằng nhựa cao cấp, tạo cảm giác nhẹ nhàng lòng bàn chân giúp lưu thông khí huyết, mang đến sự thoải mái, dễ chịu cho người mang.Thích hợp đi trong nhà, sử dụng trong n...",24000,24000,dropship,OEM,0,0.0,0,False,Shop Bin Bin,1299,1,0,False,Root,0
19,242704717,Dép nhựa cao su cho người trung niên,       Chào Anh/Chị   ️Mẫu ảnh bên shop chụp ảnh thật nên các Anh/Chị yên tâm 100% như hình nhé.   ️Hãy INBOX ( Nhắn tin) cho shop để lấy size CHUẨN nha .   Shop cam kết hàng chuẩn xịn giá hợp ...,27000,27000,dropship,OEM,0,0.0,0,False,ShopDUMPS,190,6,0,False,Root,0
20,204714674,Dép nữ đính hoa,- Tên sản phẩm: Dép nữ đính hoaThông tin sản phẩm:Tên sản phẩm: Dép nữ đính hoaChất liệu: nhựaĐược tán những bông hoa xinh đẹp/ Tiện dụng để đi trong môi trường nắng lẫn môi trường mưa.Dép rất bền...,27350,27350,dropship,OEM,0,0.0,0,False,Si Si store,308,5,0,False,Dép quai ngang,0
21,248403341,Dép nhựa dẻo thông hơi / Dép xốp đi trong nhà tắm / văn phòng SBK016,"       MÔ TẢ SẢN PHẨM:   - Dép xốp đi trong nhà được làm từ nhựa EVA có thể mang trong nhà, nhà tắm và văn phòng. Thiết kế siêu nhẹ, không   thấm nước .Màu sắc đa dạng.   - Có lỗ thông hơi thoá...",27000,27000,dropship,OEM,0,0.0,0,False,Hàng Gia Dụng Q9,174,6,0,False,Root,0
22,202854180,"Dép quai ngang Unisex Cách Điệu Có Khóa, Bền Nhẹ Chống Trượt, Dễ Vệ Sinh, Nhựa Dẽo Êm Chân","Dép quai ngang Unisex Cách Điệu Có Khóa, Bền Nhẹ Chống Trượt, Dễ Vệ Sinh, Nhựa Dẽo Êm Chân- Hàng mới 100%, dép nhựa dẻo mềm, bền, massage chân, là sự lựa chọn hoàn hảo cho mọi người từ nhân nhiên văn...",58000,58000,dropship,OEM,0,0.0,0,False,Dzô Mart Online,320,8,1564,False,Dép quai ngang,0
23,105595024,Dép quai ngang cao su đúc siêu bền nam nữ,"Dép quai ngang cao su đúc siêu bền nam nữ FORM BÉ NÊN CÁC BẠN LƯU Ý ĐẶT ĐƠN nhớ tăng 1 size nhésize :36-41màu:đen ,ghi,hồng️Cảm Ơn Khách Hàng Luôn Tin Tưởng Và Ủng Hộ Shop -Thanh toán khi nhận...",39000,39000,dropship,OEM,53,4.1,0,False,Rumyh Fashion Style,822,4,1052,False,Dép quai ngang,207
24,22445110,"Dép đi trong nhà Dép quai ngang chống trơn trượt, size 36 đến 45 nhiều màu V167 nữ",Form chuẩnSize 36-37 vừa bàn chân 24.0 cmSize 38-39 vừa bàn chân 25.0 cmSize 40-41 vừa bàn chân 26.0 cmSize 42-43 vừa bàn chân 27.0 cmSize 44-45 vừa bàn chân 28.0 cm ...,39000,39000,dropship,OEM,148,4.5,0,False,Jay_shop,1518,7,0,False,Thời Trang,1482
25,254124374,Dép lê nhún gấu dép nữ mùa hè học sinh phiên bản Hàn Quốc hottrend,       giới thiệu về sản phẩm   +thiết kế trẻ trung năng dộng dễ dàng để phối đồ   +chất liệu nhựa eva trống trơn trượt   +chiều cao đế 3.5cm   -phù hợp với dân văn phòng học xinh    có thể m...,49000,49000,dropship,OEM,3,4.7,0,False,sumo98 store,121,8,0,False,Root,11
26,254124492,"Dép tai thỏ miss super cute ,dép nữ siêu nhẹ hottred","       Dép tai thỏ   Dép tai thỏ có sẵn tại Shop   Thông tin sản phẩm Dép tai thỏ   - Đế chất liệu Eva siêu nhẹ đúc nguyên khối cực êm chân, bền bỉ, form ôm chân và thoải mái vu vi khi di chuyể...",49000,49000,dropship,OEM,2,5.0,0,False,sumo98 store,121,10,0,False,Root,10
27,187747352,"Dép bánh mì caro, dép quai ngang nữ caro dễ thương bản 2022 - cực nhẹ êm chân, Dép HOC SINH Hot TRENST","new - dép bánh mì nữ siêu cute năm nay> Đầy đủ sticker dễ thương đi kèm nhé> Đế dày tới 6cm, đi vừa sạch lại dễ phối đồ> Nhẹ, chắc chắn, rất bền nha> Sẵn hàng, giao hàng siêu tốc nha bạnT...",44000,41800,dropship,OEM,3,4.7,0,False,BẢO BẢO MART,445,4,1127,False,Dép quai ngang,6
28,196233252,Dép quai ngang nữ hình gấu TEDDY MILK TEA thời trang hottrend năm 2022 Form nhỏ tăng 1-2 Size,Kho Sỉ BẢO BẢO STORE xin giới thiệu :Dép quai ngang nữ hình gấu TEDDY MILK TEA thời trang hot năm 2022>>>>THÔNG TIN SẢN PHẨM:Kích thước / Size :Size 36 : chiều dài 22.2 cmSize 37 : ch...,50000,50000,dropship,BẢO BẢO STORE,9,4.8,0,False,BẢO BẢO MART,379,5,1349,False,Dép quai ngang,55
29,73505435,Dép đi trong nhà nữ dép quai ngang chống trơn trượt 268,Dép đi trong nhà nữ dép quai ngang chống trơn trượt 268Size 36-37 chiều dài dép là 24.0 cmSize 38-39 chiều dài dép là 25.0 cmSize 40-41 chiều dài dép là 26.0 cmSize 42-43 chiều dài dép là 27.0 cmSize ...,44000,44000,dropship,OEM,61,4.7,0,False,Phatdat,1014,9,0,False,Dép quai ngang,263
30,125778220,Dép tổ ông nữ nhiều màu,"       Dép ông nữ quai ngang ,chất liệu nhựa tốt,mang rất bền với thời gian,có nhiều size để lựa chọn 41,42,43,44,tương đương size 36,37,38,39,nhiều màu trắng kem,xanh,đỏ và tím   ...",45000,45000,dropship,OEM,2,4.0,0,False,khangtranduyshop,715,9,0,False,Root,7
31,200520738,Dép lê nữ quai ngang mới nhất V313,Dép lê nữ quai ngang mới nhất V313Size 35 phù hợp chiều dài Giày dép là 22.5 cmSize 36 phù hợp chiều dài Giày dép là 23.0 cmSize 37 phù hợp chiều dài Giày dép là 23.5 cmSize 38 phù hợp ch...,40000,40000,dropship,OEM,1,5.0,0,False,Jay_shop,337,9,0,False,Dép quai ngang,1
32,48995794,Dép dọ bộ đội,"Dép nhựa đi trong nhà được làm bằng nhựa cao cấp, tạo cảm giác nhẹ nhàng lòng bàn chân giúp lưu thông khí huyết, mang đến sự thoải mái, dễ chịu cho người mang.Thích hợp đi trong nhà, sử dụng trong n...",40000,40000,dropship,OEM,16,3.6,0,False,Shop Bin Bin,1299,1,0,False,Root,157
33,216299568,"Dép cá sấu há miệng, khủng long mắt to dép quai ngang hà mã cá sấu mắt to siêu dễ thương phong cách hot trend 2023","THÔNG TIN SẢN PHẨM- Dép làm từ nhựa EVA cao cấp, siêu nhẹ, cực kỳ dẻo dai, khả năng chịu lực cao và hoàn toàn không độc hại- Đế thiết kế ma sát, chống trơn trượt, chống nước cực tốt Mọi người đi mưa...",49000,49000,dropship,OEM,7,3.9,0,False,Rumyh Fashion Style,221,6,1322,False,Dép quai ngang,26
34,206292265,Dép nữ đính Gấu Hồng mẫu mới siêu hót 2022,"dép nữ chao hình gấu hồng cực xinhmàu: đen, trắngsize: 36/37,38/39,40/41thiết kế trẻ trung năng động ,phù hợp cho tất cả cac bạn trẻ học sinh ,sinh viênhàng có sẵn nhận sỉ sll khách inbox e nhe...",49000,49000,dropship,OEM,2,5.0,0,False,Rumyh Fashion Style,295,6,1322,False,Dép - Guốc nữ,7
35,103879065,"Dép quai ngang nam nữ, dép đi trong nhà, dép văn phòng siêu êm đúc nguyên khối, dép bánh mì, dép lê siêu nhẹ - Hàng nhập khẩu","Dép quai ngang nam nữ, dép đi trong nhà, dép văn phòng siêu êm đúc nguyên khối, dép bánh mì, dép lê siêu nhẹ - Hàng nhập khẩu Video hình ảnh quay thật tại shop, màu sắc chính xác như Video.Dép quai...",43000,43000,dropship,YORN,93,4.6,0,False,YORN Official Store,827,1,1160,True,Dép quai ngang,987
36,175987433,Dép cao su đế bánh mỳ quai ngang kẻ caro cực xinh,"Dép bánh mỳ quai ngang kẻ caro thời trang hottrend đế cao su êm nhẹ chống trơn trượt.Đế dép được làm từ cao su cao cấp mềm dẻo, êm ái, độ cao 2P tôn dáng. Dép chống trơn trượt tốt, đi mưa thoải mái a....",39000,37050,dropship,OEM,4,5.0,0,False,BẢO BẢO MART,510,7,999,False,Dép quai ngang,26
37,59260878,Dép Quai Ngang Nữ Đế Bánh Mì Siêu Nhẹ,...,59000,59000,dropship,OEM,80,4.2,0,False,Tizinis,1125,3,0,False,Thời Trang,306
38,193747939,Dép nữ quai ngang đế bánh mì Chao gắn họa tiết hoa quả dâu đế siêu nhẹ,"THÔNG TIN SẢN PHẨM️ Dép quai ngang nữ gắn stiker hoa nhiều màu siêu xinh bản to êm chân️ Đế dép làm hoàn toàn cao su non êm chân, k mùi, chống trơn trượt, không gây tiếng ồn khi di chuyển️ Thiết kế th...",85000,85000,dropship,OEM,0,0.0,0,False,HapuShoes,401,4,0,False,Dép quai ngang,10
39,178339958,Dép chiếu cói quai gấm - ND014,"       Nhà Nii lại về thêm mẫu dép mới nè cả nhà    Dép chiếu quai ngang 3 màu   ️ Chất liệu sợi cói tự nhiên kết hợp đế xốp chống trượt và quai vải gấm.   ️ Đen/đỏ/xanh   ️ Dép đi rất nhẹ, má...",70000,70000,dropship,OEM,4,4.5,0,False,Nii No,493,9,0,False,Root,97
40,153257821,Dép quai ngang bánh mì độn đế hình gấu mặt cười,"       THÔNG TIN SẢN PHẨM   Mẫu dép quai trơn siêu đẹp, nịnh chân đảm bảo đẹp khách yên tâm mua nhé   Chất liệu: cao su non đúc siêu êm   - Quai mềm mịn, sang chảnh sành điệu   - Chịu nước tho...",45000,45000,dropship,OEM,27,4.2,0,False,haiquynh06,625,3,0,False,Root,71
41,130080161,"Dép lê nữ quai ngang, dép thời trang nhún nơ bèo đính ngọc HAPU Shoes","       Dép lê nữ quai ngang, dép thời trang nữ nhún nơ bèo đính ngọc HAPU Shoes   ̂  ̉ ̂̉   ️ Dép quai ngang nhún bèo đính ngọc châu của chất da mềm mại, không bong tróc   ️ Đế dép làm hoàn toà...",90000,90000,dropship,OEM,6,4.2,0,False,HapuShoes,697,10,0,False,Root,16
42,153259051,Dép quai ngang bánh mì nam nữ hoạ tiết couple đúc nguyên khối chất liệu EVA siêu nhẹ size đơn siêu đẹp,       THÔNG TIN SẢN PHẨM   THÔNG TIN SẢN PHẨM   Màu săc; Đen - Trắng đục   Size: 36-40   Chất liệu EVa siêu nhẹ size đơn siêu đẹp.   Kiểu dáng đơn giản sang trọng thiết kế lòng dép ôm bàn ch...,42000,42000,dropship,OEM,4,4.8,0,False,haiquynh06,625,6,0,False,Root,11
43,115787401,"Dép chiếu quai chéo,dép trong nhà,dép văn phòng","       Dép chiếu quai chéo mang trong nhà sản phẩm làm từ nguyên liệu tự nhiên   Quai làm bằng vải nhung ,bố  êm chân và tạo sự sang trọng nâng vẽ đẹp của đôi chân người mang   - Sản phẩm mang t...",49000,49000,dropship,OEM,8,4.6,0,False,Dép Chiếu,775,8,0,False,Dép quai ngang,34
44,79712620,"Dép Đi Trong Nhà Cao Cấp, Êm Chân, Chống Trơn Trượt","       Dép làm từ chất liệu xốp eva cao cấp, chắc chắn, dẻo dai, nhẹ.   Dép đi chơi,đi phố,đi trong nhà văn phòng đều phù hợp, làm dép đôi, dép nhóm du lịch cực chất   Dép ko chỉ thoải mái, cá t...",45000,45000,dropship,OEM,7,4.1,0,False,HƯƠNG GIÀY,921,8,1214,False,Root,26
45,145251957,"(XẢ ngẫu nhiên) Giày dép nữ khóa nhựa đi mưa, đi biển",  Nhanh tay bấm mua ngày để rinh ngay sản phẩm siêu hót siêu rẻ này thôi   Được kiểm tra hàng trước khi thanh toán   ...,49000,49000,dropship,OEM,1,5.0,0,False,Giày BiBi,649,6,0,False,Root,3
46,84565546,DÉP BÁNH MÌ NỮ QUAI NGANG SIÊU NHẸ MỀM ÊM HOT 2021 - V764,"Thoải mái, êm chân khi đi trong nhiều giờ.Tiện lợi khi mang vì chỉ cần một thao tác xỏ chân.Tính thẩm mỹ cao do đa dạng kiểu dáng, thiết kếDễ kết hợp với nhiều loại trang phục, phụ kiệnỨng dụng kh...",39000,39000,dropship,OEM,17,4.5,0,False,HƯƠNG GIÀY,902,4,1052,True,Dép quai ngang,47
47,140968125,Dép bánh mì quai ngang nữ mẫu mới Hot trend 2021 hình Boy Girl Cute Mềm Êm Cực Xinh,"       Dép bánh mì quai ngang nữ mẫu mới Hottrend 2021 Hình Boy Girl Cute Mềm Êm   FORM SẢN PHẨM HƠI NHỎ, KHI MUA BẠN NÊN MUA KÍCH CỠ LỚN HƠN 1-2 SIZE NHÉ   ️ Chân size 34,35 đặt size 36   ️ Ch...",49500,49500,dropship,OEM,0,0.0,0,False,Shop Phương Bảo,663,6,0,False,Root,1
48,169988909,"Dép đi trong nhà tắm văn phòng CSHome Dép lê nam nữ xốp lỗ siêu bền siêu nhẹ (nhẹ hơn nhựa), siêu rẻ, chống trơn","       Dép đi trong nhà tắm văn phòng CSHome Dép lê nam nữ xốp lỗ siêu bền siêu nhẹ (nhẹ hơn dép nhựa), siêu rẻ, chống trơn trượt   THÔNG TIN SẢN PHẨM   - Chất liệu Dép đi trong nhà tắm văn phòn...",39000,39000,dropship,OEM,0,0.0,0,False,CỦ SU HÀO,544,10,0,False,Root,0
49,159437868,Dép Đúc Nguyên Khối Cao Su Dẻo Chống Trơn Trượt Cao Cấp Mẫu Mới Nhất,"       Tư vấn chọn size dép: khách nên đặt LỚN HƠN 1 SIZE so với size dép thông thường   Ví dụ:   + Khách đang mang size 40, đặt size dép 40-41   + Khách đang mang size 41, đặt size dép 42-43 ...",49500,49500,dropship,OEM,3,5.0,0,False,GẠO - HOME DECOR,601,10,0,True,Dép - Guốc nữ,8
